y,Ux,Ux_RESID,y,Ux,Ux_RESID
-27.59367,0.091965,0.033876,-27.463429,0.084384,0.034767
-27.59367,0.091965,0.033876,-27.463429,0.084384,0.034767
-27.701107,0.09086,0.03277,-28.807593,0.07718,0.027563
-27.701107,0.09086,0.03277,-28.807593,0.07718,0.027563
-28.882325,0.086473,0.028383,-30.167683,0.064049,0.014432
-28.882325,0.086473,0.028383,-30.167683,0.064049,0.014432
-28.984252,0.085951,0.027861,-30.180659,0.063913,0.014296
-28.984252,0.085951,0.027861,-30.180659,0.063913,0.014296
-30.193846,0.078278,0.020188,-30.19009,0.063855,0.014238
-30.193846,0.078278,0.020188,-30.19009,0.063855,0.014238
-30.277738,0.077632,0.019542,-31.569988,0.062027,0.01241
-30.277738,0.077632,0.019542,-31.569988,0.062027,0.01241
-30.360394,0.076911,0.018822,-31.585158,0.06203,0.012413
-30.360394,0.076911,0.018822,-31.585158,0.06203,0.012413
-31.568544,0.074194,0.016105,-33.003462,0.061908,0.012291
-31.568544,0.074194,0.016105,-33.003462,0.061908,0.012291
-31.650289,0.074182,0.016092,-34.639639,0.061629,0.012012
-31.650289,0.074182,0.016092,-34.639639,0.061629,0.012012
-32.871178,0.074043,0.015953,-34.656124,0.061626,0.012009
-32.871178,0.074043,0.015953,-34.656124,0.061626,0.012009
-34.192746,0.073849,0.015759,-36.551091,0.061312,0.011695
-34.192746,0.073849,0.015759,-36.551091,0.061312,0.011695
-34.308985,0.073831,0.015741,-36.562684,0.06131,0.011693
-34.308985,0.073831,0.015741,-36.562684,0.06131,0.011693
-34.436471,0.073811,0.015721,-38.7519,0.061002,0.011386
-34.436471,0.073811,0.015721,-38.7519,0.061002,0.011386
-35.855949,0.073566,0.015476,-38.761689,0.061001,0.011384
-35.855949,0.073566,0.015476,-38.761689,0.061001,0.011384
-37.392481,0.073303,0.015213,-41.289739,0.060654,0.011037
-37.392481,0.073303,0.015213,-41.289739,0.060654,0.011037
-37.52328,0.073281,0.015191,-41.29834,0.060653,0.011036
-37.52328,0.073281,0.015191,-41.29834,0.060653,0.011036
-39.236683,0.072983,0.014894,-41.312393,0.060651,0.011034
-39.236683,0.072983,0.014894,-41.312393,0.060651,0.011034
-39.326705,0.072966,0.014876,-44.225449,0.060297,0.01068
-39.326705,0.072966,0.014876,-44.225449,0.060297,0.01068
-39.448798,0.072943,0.014853,-47.585992,0.059902,0.010285
-39.448798,0.072943,0.014853,-47.585992,0.059902,0.010285
-41.283861,0.072568,0.014478,-47.601092,0.0599,0.010283
-41.283861,0.072568,0.014478,-47.601092,0.0599,0.010283
-43.270249,0.072161,0.014072,-51.483393,0.059266,0.00965
-43.270249,0.072161,0.014072,-51.483393,0.059266,0.00965
-43.398418,0.072135,0.014045,-51.495263,0.059264,0.009647
-43.398418,0.072135,0.014045,-51.495263,0.059264,0.009647
-45.599634,0.071678,0.013588,-55.976755,0.058574,0.008957
-45.599634,0.071678,0.013588,-55.976755,0.058574,0.008957
-45.689153,0.071658,0.013568,-55.987561,0.058572,0.008955
-45.689153,0.071658,0.013568,-55.987561,0.058572,0.008955
-45.813782,0.071631,0.013542,-61.159764,0.057783,0.008166
-45.813782,0.071631,0.013542,-61.159764,0.057783,0.008166
-48.17228,0.071037,0.012947,-61.169851,0.05778,0.008163
-48.17228,0.071037,0.012947,-61.169851,0.05778,0.008163
-50.725269,0.070205,0.012115,-67.138806,0.056295,0.006678
-50.725269,0.070205,0.012115,-67.138806,0.056295,0.006678
-50.854531,0.070164,0.012074,-67.148087,0.056292,0.006675
-50.854531,0.070164,0.012074,-67.148087,0.056292,0.006675
-53.666917,0.069295,0.011205,-74.036414,0.053766,0.004149
-53.666917,0.069295,0.011205,-74.036414,0.053766,0.004149
-53.758014,0.069268,0.011178,-74.04441,0.053762,0.004145
-53.758014,0.069268,0.011178,-74.04441,0.053762,0.004145
-53.887597,0.069231,0.011141,-74.053215,0.053757,0.00414
-53.887597,0.069231,0.011141,-74.053215,0.053757,0.00414
-56.905039,0.068349,0.01026,-82,0.050511,0.000894
-56.905039,0.068349,0.01026,-82,0.050511,0.000894
-60.17131,0.067487,0.009398,-82.009981,0.05051,0.000893
-60.17131,0.067487,0.009398,-82.009981,0.05051,0.000893
-60.305989,0.067448,0.009358,-90,0.049617,0
-60.305989,0.067448,0.009358,,,
-63.892845,0.06639,0.0083,,,
-63.892845,0.06639,0.0083,,,
-63.987427,0.06636,0.00827,,,
-63.987427,0.06636,0.00827,,,
-64.121986,0.066313,0.008224,,,
-64.121986,0.066313,0.008224,,,
-67.97614,0.065215,0.007126,,,
-67.97614,0.065215,0.007126,,,
-72.148122,0.063705,0.005615,,,
-72.148122,0.063705,0.005615,,,
-72.287106,0.063654,0.005564,,,
-72.287106,0.063654,0.005564,,,
-76.858291,0.061678,0.003588,,,
-76.858291,0.061678,0.003588,,,
-76.951447,0.061631,0.003541,,,
-76.951447,0.061631,0.003541,,,
-77.042036,0.061592,0.003503,,,
-77.042036,0.061592,0.003503,,,
-82,0.059296,0.001207,,,
-82,0.059296,0.001207,,,
-85.922188,0.058691,0.000601,,,
-85.922188,0.058691,0.000601,,,
-86,0.05868,0.00059,,,
-86,0.05868,0.00059,,,
-86.077812,0.058669,0.000579,,,
-86.077812,0.058669,0.000579,,,
-90,0.05809,0,,,
