y,Ux,Ux_RESID,,y,Ux,Ux_RESID,,y,Ux,Ux_RESID
-20.321414,0.787345,0.755262,,-17.509355,-0.030627,-0.063874,,-29.374113,0.435791,0.402503
-20.321414,0.787345,0.755262,,-17.509355,-0.030627,-0.063874,,-29.374113,0.435791,0.402503
-21.896607,0.732559,0.700476,,-18.214402,-0.047131,-0.080379,,-30.347143,0.384162,0.350873
-21.896607,0.732559,0.700476,,-18.214402,-0.047131,-0.080379,,-30.347143,0.384162,0.350873
-23.473667,0.67324,0.641157,,-19.165461,-0.058159,-0.091406,,-31.451918,0.326552,0.293264
-23.473667,0.67324,0.641157,,-19.165461,-0.058159,-0.091406,,-31.451918,0.326552,0.293264
-23.528971,0.670941,0.638858,,-19.711892,-0.057109,-0.090356,,-31.511313,0.323152,0.289864
-23.528971,0.670941,0.638858,,-19.711892,-0.057109,-0.090356,,-31.511313,0.323152,0.289864
-23.584874,0.668755,0.636672,,-20.117189,-0.053997,-0.087245,,-31.64999,0.315193,0.281904
-23.584874,0.668755,0.636672,,-20.117189,-0.053997,-0.087245,,-31.64999,0.315193,0.281904
-25.173415,0.601763,0.56968,,-21.267077,-0.042142,-0.07539,,-32.404721,0.269564,0.236275
-25.173415,0.601763,0.56968,,-21.267077,-0.042142,-0.07539,,-32.404721,0.269564,0.236275
-26.698962,0.528095,0.496012,,-22.762427,-0.024818,-0.058065,,-33.038802,0.227628,0.19434
-26.698962,0.528095,0.496012,,-22.762427,-0.024818,-0.058065,,-33.038802,0.227628,0.19434
-26.86995,0.520162,0.488079,,-22.770482,-0.024701,-0.057949,,-33.212699,0.215654,0.182366
-26.86995,0.520162,0.488079,,-22.770482,-0.024701,-0.057949,,-33.212699,0.215654,0.182366
-27.105696,0.507954,0.475871,,-22.780453,-0.024552,-0.057799,,-33.834576,0.170982,0.137694
-27.105696,0.507954,0.475871,,-22.780453,-0.024552,-0.057799,,-33.834576,0.170982,0.137694
-28.671852,0.432816,0.400732,,-24.213266,0.000437,-0.032811,,-34.235261,0.14126,0.107971
-28.671852,0.432816,0.400732,,-24.213266,0.000437,-0.032811,,-34.235261,0.14126,0.107971
-29.288376,0.402412,0.370329,,-25.591059,0.022247,-0.011,,-34.307014,0.135913,0.102625
-29.288376,0.402412,0.370329,,-25.591059,0.022247,-0.011,,-34.307014,0.135913,0.102625
-30.711211,0.330469,0.298386,,-25.671962,0.023492,-0.009755,,-34.761544,0.100352,0.067064
-30.711211,0.330469,0.298386,,-25.671962,0.023492,-0.009755,,-34.761544,0.100352,0.067064
-30.879298,0.321898,0.289815,,-25.773361,0.025019,-0.008229,,-35.365991,0.044453,0.011164
-30.879298,0.321898,0.289815,,-25.773361,0.025019,-0.008229,,-35.365991,0.044453,0.011164
-31.112098,0.309754,0.277671,,-27.134108,0.041538,0.008291,,-35.509759,0.044451,0.011163
-31.112098,0.309754,0.277671,,-27.134108,0.041538,0.008291,,-35.509759,0.044451,0.011163
-32.468417,0.235806,0.203723,,-28.195294,0.045003,0.011756,,-35.933942,0.044441,0.011152
-32.468417,0.235806,0.203723,,-28.195294,0.045003,0.011756,,-35.933942,0.044441,0.011152
-33.713308,0.16491,0.132827,,-28.602121,0.044712,0.011465,,-36.453464,0.04441,0.011122
-33.713308,0.16491,0.132827,,-28.602121,0.044712,0.011465,,-36.453464,0.04441,0.011122
-34.08406,0.142742,0.110659,,-29.167702,0.0436,0.010353,,-36.601153,0.044399,0.011111
-34.08406,0.142742,0.110659,,-29.167702,0.0436,0.010353,,-36.601153,0.044399,0.011111
-34.50816,0.118301,0.086218,,-30.078702,0.041181,0.007934,,-36.820297,0.044384,0.011095
-34.50816,0.118301,0.086218,,-30.078702,0.041181,0.007934,,-36.820297,0.044384,0.011095
-35.680332,0.045224,0.013141,,-30.736815,0.040333,0.007086,,-37.554599,0.044339,0.011051
-35.680332,0.045224,0.013141,,-30.736815,0.040333,0.007086,,-37.554599,0.044339,0.011051
-36.614819,0.044808,0.012724,,-31.56266,0.041206,0.007958,,-38.207415,0.044302,0.011013
-36.614819,0.044808,0.012724,,-31.56266,0.041206,0.007958,,-38.207415,0.044302,0.011013
-36.851618,0.044712,0.012629,,-32.710026,0.041142,0.007894,,-38.668311,0.044276,0.010988
-36.851618,0.044712,0.012629,,-32.710026,0.041142,0.007894,,-38.668311,0.044276,0.010988
-38.273172,0.044202,0.012118,,-33.070722,0.041119,0.007872,,-39.227405,0.04426,0.010971
-38.273172,0.044202,0.012118,,-33.070722,0.041119,0.007872,,-39.227405,0.04426,0.010971
-38.34168,0.044178,0.012095,,-33.55041,0.04109,0.007842,,-39.858231,0.044245,0.010957
-38.34168,0.044178,0.012095,,-33.55041,0.04109,0.007842,,-39.858231,0.044245,0.010957
-40.238283,0.043602,0.011519,,-35.225783,0.041003,0.007756,,-40.330908,0.044236,0.010948
-40.238283,0.043602,0.011519,,-35.225783,0.041003,0.007756,,-40.330908,0.044236,0.010948
-40.288233,0.043587,0.011504,,-37.190826,0.040909,0.007661,,-41.11621,0.044234,0.010946
-40.288233,0.043587,0.011504,,-37.190826,0.040909,0.007661,,-41.11621,0.044234,0.010946
-42.355222,0.042928,0.010845,,-37.361616,0.040901,0.007653,,-42.314224,0.044228,0.010939
-42.355222,0.042928,0.010845,,-37.361616,0.040901,0.007653,,-42.314224,0.044228,0.010939
-42.382212,0.042919,0.010836,,-37.512313,0.040893,0.007646,,-42.513878,0.044225,0.010936
-42.382212,0.042919,0.010836,,-37.512313,0.040893,0.007646,,-42.513878,0.044225,0.010936
-44.532201,0.042249,0.010166,,-39.537265,0.040797,0.00755,,-42.69163,0.044223,0.010934
-44.532201,0.042249,0.010166,,-39.537265,0.040797,0.00755,,-42.69163,0.044223,0.010934
-44.538802,0.042247,0.010164,,-41.692622,0.040723,0.007476,,-44.069914,0.044221,0.010932
-44.538802,0.042247,0.010164,,-41.692622,0.040723,0.007476,,-44.069914,0.044221,0.010932
-45.463677,0.041968,0.009885,,-41.807619,0.040721,0.007473,,-45.255898,0.04422,0.010931
-45.463677,0.041968,0.009885,,-41.807619,0.040721,0.007473,,-45.255898,0.04422,0.010931
-46.727746,0.041573,0.00949,,-41.948259,0.040716,0.007469,,-45.799034,0.044242,0.010954
-46.727746,0.041573,0.00949,,-41.948259,0.040716,0.007469,,-45.799034,0.044242,0.010954
-46.736732,0.04157,0.009487,,-44.141701,0.040641,0.007394,,-46.564625,0.044283,0.010995
-46.736732,0.04157,0.009487,,-44.141701,0.040641,0.007394,,-46.564625,0.044283,0.010995
-48.972183,0.0409,0.008817,,-45.889028,0.040573,0.007325,,-47.609964,0.0443,0.011011
-48.972183,0.0409,0.008817,,-45.889028,0.040573,0.007325,,-47.609964,0.0443,0.011011
-48.991023,0.040895,0.008811,,-46.591725,0.04054,0.007293,,-48.370253,0.044308,0.011019
-48.991023,0.040895,0.008811,,-46.591725,0.04054,0.007293,,-48.370253,0.044308,0.011019
-51.769212,0.040134,0.00805,,-47.61876,0.040488,0.007241,,-49.472466,0.044267,0.010979
-51.769212,0.040134,0.00805,,-47.61876,0.040488,0.007241,,-49.472466,0.044267,0.010979
-51.794565,0.040126,0.008043,,-49.145184,0.04039,0.007143,,-50.954309,0.04408,0.010791
-51.794565,0.040126,0.008043,,-49.145184,0.04039,0.007143,,-50.954309,0.04408,0.010791
-51.838665,0.040111,0.008028,,-50.195025,0.040321,0.007074,,-51.327449,0.044024,0.010736
-51.838665,0.040111,0.008028,,-50.195025,0.040321,0.007074,,-51.327449,0.044024,0.010736
-55.134045,0.03904,0.006957,,-51.823595,0.040174,0.006927,,-51.603352,0.043985,0.010696
-55.134045,0.03904,0.006957,,-51.823595,0.040174,0.006927,,-51.603352,0.043985,0.010696
-58.435525,0.038218,0.006135,,-54.55898,0.039777,0.00653,,-53.097645,0.043711,0.010423
-58.435525,0.038218,0.006135,,-54.55898,0.039777,0.00653,,-53.097645,0.043711,0.010423
-58.48559,0.038205,0.006122,,-54.641444,0.039764,0.006517,,-54.59953,0.04347,0.010181
-58.48559,0.038205,0.006122,,-54.641444,0.039764,0.006517,,-54.59953,0.04347,0.010181
-58.535567,0.038192,0.006109,,-54.790542,0.039742,0.006494,,-55.363769,0.043301,0.010012
-58.535567,0.038192,0.006109,,-54.790542,0.039742,0.006494,,-55.363769,0.043301,0.010012
-61.840758,0.037475,0.005392,,-57.557046,0.039325,0.006078,,-56.329755,0.043092,0.009804
-61.840758,0.037475,0.005392,,-57.557046,0.039325,0.006078,,-56.329755,0.043092,0.009804
-65.159245,0.0368,0.004717,,-59.021084,0.039162,0.005915,,-58.616213,0.042569,0.00928
-65.159245,0.0368,0.004717,,-59.021084,0.039162,0.005915,,-58.616213,0.042569,0.00928
-65.199888,0.036788,0.004705,,-60.636667,0.038923,0.005676,,-61.184959,0.041718,0.008429
-65.199888,0.036788,0.004705,,-60.636667,0.038923,0.005676,,-61.184959,0.041718,0.008429
-65.240372,0.03678,0.004697,,-63.296663,0.038334,0.005087,,-61.930826,0.041451,0.008163
-65.240372,0.03678,0.004697,,-63.296663,0.038334,0.005087,,-61.930826,0.041451,0.008163
-68.559786,0.035956,0.003873,,-63.886055,0.038237,0.00499,,-62.640254,0.041132,0.007844
