SEP=;
Time[s];Ux(CN_1);Ux(CN_3);Ux_Residual(CN_1-CN_3);Uy(CN_1);Uy(CN_3);Uy_Residual(CN_1-CN_3);Ux(CN_2);Ux(CN_3);Ux_Residual(CN_2-CN_3);Uy(CN_2);Uy(CN_3);Uy_Residual(CN_2-CN_3);Ux(CN_4);Ux(CN_3);Ux_Residual(CN_4-CN_3);Uy(CN_4);Uy(CN_3);Uy_Residual(CN_4-CN_3)
13305600.009999;-0.000000;0.000000;-0.000000;0.000000;-0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.000000;0.000000;0.000000;0.000000;-0.000000;-0.000000;-0.000000;-0.000000
13305600.019998;-0.000000;0.000000;-0.000000;0.000000;-0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.000000;0.000000;0.000000;0.000000;-0.000000;-0.000000;-0.000000;-0.000000
13305600.029996;0.000000;0.000000;-0.000000;0.000000;-0.000000;0.000000;0.000000;0.000000;0.000000;-0.000000;-0.000000;-0.000000;0.000000;0.000000;-0.000000;-0.000000;-0.000000;-0.000000
13305600.039995;0.000000;0.000000;0.000000;-0.000000;-0.000000;-0.000000;0.000000;0.000000;-0.000000;-0.000000;-0.000000;-0.000000;0.000000;0.000000;-0.000000;-0.000000;-0.000000;-0.000000
13305600.049994;-0.000000;0.000000;-0.000000;-0.000000;-0.000000;-0.000000;0.000000;0.000000;-0.000000;-0.000000;-0.000000;-0.000000;0.000000;0.000000;-0.000000;-0.000000;-0.000000;-0.000000
13305600.059993;0.000000;0.000000;0.000000;-0.000000;0.000000;-0.000000;0.000000;0.000000;-0.000000;-0.000000;0.000000;-0.000000;0.000000;0.000000;-0.000000;-0.000000;0.000000;-0.000000
13305600.069992;0.000000;0.000000;0.000000;-0.000000;0.000000;-0.000000;0.000000;0.000000;-0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.000000;-0.000000;0.000000;-0.000000
13305600.079991;0.000000;0.000000;0.000000;-0.000001;0.000000;-0.000001;0.000000;0.000000;-0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.000000;-0.000000;0.000000;-0.000000
13305600.089989;0.000000;0.000000;0.000000;-0.000001;0.000000;-0.000001;0.000000;0.000000;-0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.000000;-0.000000;0.000000;-0.000000
13305600.099988;0.000000;0.000000;0.000000;-0.000001;0.000000;-0.000001;0.000000;0.000000;-0.000000;-0.000000;0.000000;-0.000000;0.000000;0.000000;-0.000000;-0.000000;0.000000;-0.000000
